price,cost,sales,profit_margin,inventory,discount_percentage,delivery_days,category,material,color,location,season,store_type,brand,revenue
218.5430535,181.6109316,40,16.89924312,105,27.79643342,9,Bed,Plastic,Red,Rural,Spring,Online,BrandA,3949.165238
477.8214379,385.033827,7,19.41888821,192,26.94371504,6,Chair,Glass,Blue,Rural,Summer,Online,BrandD,-3521.002258
379.3972738,276.7367652,32,27.05884194,59,21.94813022,2,Table,Metal,Black,Suburban,Fall,Online,BrandD,14285.56022
319.3963179,281.8413339,48,11.75811426,45,11.00994442,2,Table,Glass,Green,Rural,Summer,Retail,BrandD,12261.0737
120.2083882,69.74368145,19,41.98101938,35,3.183762557,9,Chair,Glass,Brown,Rural,Fall,Online,BrandD,-4588.255733
120.1975342,65.35208254,6,45.62943159,185,20.65935157,8,Table,Plastic,Brown,Urban,Fall,Retail,BrandB,9136.301617
76.13762548,64.0762673,20,15.84152132,165,29.35962244,9,Sofa,Glass,Green,Suburban,Summer,Online,BrandA,4128.412805
439.7792656,297.1412263,27,32.43400733,10,21.79813312,4,Sofa,Wood,White,Urban,Winter,Retail,BrandC,9516.966398
320.5017553,268.8328794,43,16.12124583,11,27.86188108,4,Bed,Fabric,Brown,Suburban,Spring,Retail,BrandD,8882.539029
368.63266,316.0052172,37,14.27639179,169,24.12914139,2,Sofa,Fabric,Black,Urban,Spring,Retail,BrandD,8946.637741
59.26302243,31.11208153,48,47.50169626,38,4.893440254,1,Sofa,Plastic,Green,Urban,Spring,Online,BrandB,1201.731751
486.4594335,415.137624,7,14.66140948,198,7.476113118,4,Desk,Fabric,White,Rural,Fall,Retail,BrandB,1782.770514
424.5991884,288.441957,5,32.06723779,138,10.25596805,8,Desk,Wood,Blue,Rural,Fall,Retail,BrandB,-1043.264316
145.5525998,102.4942102,11,29.58270044,35,5.04781333,2,Desk,Plastic,Blue,Suburban,Summer,Online,BrandA,1003.510254
131.8212352,98.94989714,15,24.93629956,51,17.44953998,8,Desk,Metal,Black,Suburban,Winter,Retail,BrandC,-1415.105421
132.5320294,115.3761615,3,12.94469573,30,29.26351572,1,Table,Fabric,Black,Suburban,Summer,Retail,BrandA,1398.516925
186.9090093,94.88369277,5,49.23535622,32,22.843765,1,Bed,Glass,Black,Rural,Summer,Online,BrandD,603.6743864
286.1403942,197.6478683,23,30.92626127,140,12.70160247,4,Bed,Wood,Brown,Urban,Winter,Retail,BrandB,2242.935315
244.3752584,189.4125299,37,22.4911183,145,0.135134429,7,Sofa,Wood,Black,Suburban,Fall,Online,BrandD,8595.562315
181.0531131,142.8658944,9,21.09172169,168,9.398280334,9,Bed,Fabric,Green,Rural,Summer,Online,BrandC,4191.031416
325.3338026,252.7885851,15,22.29870274,57,15.80277863,5,Sofa,Metal,Green,Rural,Summer,Online,BrandC,-7173.239162
112.7722373,62.45033877,3,44.62259482,183,9.727526216,2,Bed,Glass,White,Urban,Fall,Retail,BrandA,3196.398404
181.4650918,112.4644851,29,38.02417647,151,3.331047691,7,Chair,Metal,Green,Urban,Spring,Online,BrandA,-1044.709669
214.8628295,138.2612678,6,35.65137898,127,13.28294871,2,Chair,Metal,Brown,Rural,Winter,Retail,BrandB,-1176.481119
255.2314929,209.7428302,17,17.82251169,30,7.597584509,9,Bed,Fabric,Blue,Urban,Winter,Retail,BrandB,-10139.13042
403.3291826,246.6373879,26,38.8496051,54,27.27697129,9,Table,Glass,White,Urban,Spring,Retail,BrandD,10454.45168
139.853202,81.71370653,21,41.57180145,9,3.052635855,3,Sofa,Fabric,Green,Rural,Winter,Retail,BrandB,-853.9161998
281.4054973,248.475203,8,11.70207924,187,1.474578862,8,Bed,Fabric,Black,Suburban,Spring,Online,BrandB,-281.0040997
316.586556,159.4156768,21,49.6454686,129,0.159425075,4,Sofa,Wood,Green,Suburban,Summer,Online,BrandD,7091.019256
70.90268572,63.75061428,11,10.08716577,14,9.842090535,3,Desk,Fabric,Red,Rural,Winter,Retail,BrandC,-9150.835909
323.3951834,249.2498909,38,22.92714805,2,19.81160515,1,Bed,Plastic,White,Suburban,Winter,Retail,BrandB,10164.65677
126.7358557,105.3666341,8,16.86122802,42,21.91241259,5,Table,Glass,Brown,Rural,Summer,Online,BrandB,4032.952493
79.27321684,48.97877934,42,38.21522415,158,13.5978505,4,Desk,Wood,Green,Rural,Fall,Online,BrandD,3747.744772
476.9984918,241.2305922,24,49.42738889,197,20.52985951,1,Bed,Glass,Green,Urban,Fall,Online,BrandD,7128.460236
484.5344149,385.2764776,35,20.48521926,66,10.79742109,8,Chair,Wood,Brown,Suburban,Summer,Retail,BrandD,15333.36742
413.7788067,344.9499457,14,16.63421612,55,20.0341866,8,Bed,Plastic,Blue,Rural,Winter,Online,BrandD,4254.880381
187.0761961,148.9482813,14,20.38095472,62,1.217879559,8,Chair,Fabric,Black,Suburban,Winter,Online,BrandD,6379.848368
93.9524513,52.34467952,10,44.28598851,14,11.72258954,3,Chair,Wood,Black,Suburban,Winter,Online,BrandB,7104.438995
357.9048619,286.8146376,12,19.86288311,108,23.72549033,6,Bed,Wood,Blue,Suburban,Spring,Retail,BrandA,1221.715009
248.0686222,200.3325571,38,19.24308872,115,24.09018091,7,Bed,Wood,Blue,Rural,Fall,Online,BrandA,8313.359959
104.9172057,80.09549513,44,23.65837937,91,21.48446337,9,Chair,Plastic,Red,Urban,Winter,Online,BrandA,286.6430254
272.8296096,220.0224491,46,19.35536269,137,6.127158617,5,Sofa,Glass,Brown,Suburban,Fall,Online,BrandB,13864.7328
